Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Umoja Fund,2.11549E+11,396799573.1,533.1379,533.1379,527.8066,11/20/2017
Umoja Fund,2.11401E+11,396778752.1,532.7942,532.7942,527.4663,11/17/2017
Umoja Fund,2.11401E+11,396778752.1,532.7942,532.7942,527.4663,11/17/2017
Umoja Fund,2.11496E+11,396948743,532.8044,532.8044,527.4764,11/16/2017
Umoja Fund,2.11496E+11,396948743,532.8044,532.8044,527.4764,11/16/2017
Umoja Fund,2.11436E+11,396922787.5,532.6883,532.6883,527.3614,11/15/2017
Umoja Fund,2.11436E+11,396922787.5,532.6883,532.6883,527.3614,11/15/2017
Umoja Fund,2.11384E+11,396913720.9,532.569,532.569,527.2433,11/14/2017
Umoja Fund,2.11384E+11,396913720.9,532.569,532.569,527.2433,11/14/2017
Umoja Fund,2.11526E+11,397201765.1,532.5406,532.5406,527.2152,11/13/2017
Umoja Fund,2.11526E+11,397201765.1,532.5406,532.5406,527.2152,11/13/2017
Umoja Fund,2.11372E+11,397170181.7,532.1955,532.1955,526.8735,11/10/2017
Umoja Fund,2.11372E+11,397170181.7,532.1955,532.1955,526.8735,11/10/2017
Umoja Fund,2.1132E+11,397158002.4,532.0805,532.0805,526.7596,11/9/2017
Umoja Fund,2.1132E+11,397158002.4,532.0805,532.0805,526.7596,11/9/2017
Umoja Fund,2.10967E+11,397154401.4,531.1964,531.1964,525.8844,11/8/2017
Umoja Fund,2.10967E+11,397154401.4,531.1964,531.1964,525.8844,11/8/2017
Umoja Fund,2.10998E+11,397298635.4,531.081,531.081,525.7702,11/7/2017
Umoja Fund,2.10998E+11,397298635.4,531.081,531.081,525.7702,11/7/2017
Umoja Fund,2.1094E+11,397289402.7,530.9488,530.9488,525.6393,11/6/2017
Umoja Fund,2.1094E+11,397289402.7,530.9488,530.9488,525.6393,11/6/2017
Umoja Fund,2.10775E+11,397232303.2,530.6088,530.6088,525.3027,11/3/2017
Umoja Fund,2.10775E+11,397232303.2,530.6088,530.6088,525.3027,11/3/2017
Umoja Fund,2.10724E+11,397218622.9,530.4999,530.4999,525.1949,11/2/2017
Umoja Fund,2.10724E+11,397218622.9,530.4999,530.4999,525.1949,11/2/2017
Umoja Fund,2.10765E+11,397418624.8,530.335,530.335,525.0316,11/1/2017
Umoja Fund,2.10765E+11,397418624.8,530.335,530.335,525.0316,11/1/2017
Umoja Fund,2.10747E+11,397414330.3,530.2958,530.2958,524.9928,10/31/2017
Umoja Fund,2.10747E+11,397414330.3,530.2958,530.2958,524.9928,10/31/2017
Umoja Fund,2.09315E+11,397370650,526.7511,526.7511,521.4836,10/30/2017
Umoja Fund,2.09315E+11,397370650,526.7511,526.7511,521.4836,10/30/2017
Umoja Fund,2.11114E+11,397368989.3,531.279,531.279,525.9663,10/27/2017
